round,test_loss,test_acc,test_f1,train_loss_first_mean,train_loss_last_mean,t_compute_mean,drift_mean,update_norm_rel_mean,grad_norm_last_mean,delta_norm,momentum_norm,c_server_norm,comm_mb,SR,IF,I_s,T_min,T_max,W_total,W_imbalance,n_dropped
1,4.306789371490479,0.0407,0.02731784573576465,4.455314575881959,4.129635473861695,435.6275519890405,13.033636661838468,0.1778190635930255,2.4426379441916706,0.0,0.0,0.0,10.588310241699219,2.992883556730958,0.368678581761606,0.20390191829367982,230.55523934200028,690.0249847448431,150000.0,0.0,0
2,3.722397910308838,0.1274,0.0978593598944937,4.086332262739351,3.9232801553267467,243.16359130942396,7.987886195273394,0.12182815199584719,1.5023124297311157,0.0,0.0,0.0,10.588310241699219,1.1608568394416332,0.07467511697858256,0.21370027836802497,229.03751811199982,265.87976938905194,67335.03,0.6650886548532688,0
3,3.54026090927124,0.1548,0.1266095285525349,3.8890095779262013,3.7633322237714935,242.59196449294066,5.923210453924295,0.09616271068551557,1.7719345882357642,0.0,0.0,0.0,10.588310241699219,1.1651734719623554,0.08761823718302254,0.2146767625734824,231.11118353599886,269.28462012996897,67335.03,0.6650886548532688,0
4,3.388493980407715,0.1833,0.1532196539128793,3.729550778322582,3.609642844743367,244.120260567925,3.8487316984745097,0.06522584283791102,2.2109801778260305,0.0,0.0,0.0,10.588310241699219,1.1698203580260331,0.08076218003874472,0.21401270235157036,229.68759060599768,268.6932194768451,67335.03,0.6650886548532688,0
5,3.259164712524414,0.205,0.17595126441024686,3.5726135698149473,3.5018563917920567,244.0618878219119,1.467790001517857,0.025412574038708956,2.536710700776666,0.0,0.0,0.0,10.588310241699219,1.1682385017711931,0.08475726628499365,0.21202977383239208,230.7257708569996,269.5427288659848,67335.03,0.6650886548532688,0
